year,project_name,team,discovery_source,candidate_url,candidate_type,match_basis,source_record,resolution_status,notes
2025,ちゅーりんうぉっち,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,通報しに行っちゃお！言っちゃお！～若者の社会参画の促進～,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,3D-BW (3D Break-Water Simulator),,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,クイズでつなぐ石川のまち,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,遊びを加えた山の危険度認識と豪雨災害に向けた避難意識の向上策,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,Live Shibuya Digital Twin：ライブデータ×3D×VRによる都市状況可視化と生成AIによるリアルタイム世界改変,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,和算を嗜む ー ダンジョンＲＰＧ,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,九州元気マップ,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,3Dで体験する次世代インフラツーリズムとメンテナンス教育ツール,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
2025,選挙中じゃないときも、議員の「日々の活動」や「地域の問題や未来についてどう考えているのか」がわかる“さいたまのせいじ（政治）見える化”プロジェクト,,,,,,,not_found,no candidate URL matched the project name; official first-round results: official first-round page parsed; 0 project-URL candidates (https://urbandata-challenge.jp/news/2025-finalist)
