year,award,category,project_name,team,source_url,primary_url,github_url,url_status,http_status,page_title_now,evidence_snippet,wayback_first,wayback_last,wayback_count,github_last_commit,checked_at,cause_of_death,cause_resolved,notes
2025,金賞,一般部門,ちゅーりんうぉっち,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=住宅・土地・公園・公共施設; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銀賞,一般部門,通報しに行っちゃお！言っちゃお！～若者の社会参画の促進～,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=住宅・土地・公園・公共施設; type=アクティビティ; no explicit public URL or GitHub URL on official source page
2025,銀賞,一般部門,3D-BW (3D Break-Water Simulator),,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=河川・港湾・上下水道; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銀賞,一般部門,クイズでつなぐ石川のまち,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=住宅・土地・公園・公共施設; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銀賞,一般部門,遊びを加えた山の危険度認識と豪雨災害に向けた避難意識の向上策,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=防犯・防災; type=アクティビティ; no explicit public URL or GitHub URL on official source page
2025,銀賞,一般部門,Live Shibuya Digital Twin：ライブデータ×3D×VRによる都市状況可視化と生成AIによるリアルタイム世界改変,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=まちづくり・都市計画; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,和算を嗜む ー ダンジョンＲＰＧ,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=教育・政治; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,九州元気マップ,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=産業・観光; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,3Dで体験する次世代インフラツーリズムとメンテナンス教育ツール,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=河川・港湾・上下水道; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,選挙中じゃないときも、議員の「日々の活動」や「地域の問題や未来についてどう考えているのか」がわかる“さいたまのせいじ（政治）見える化”プロジェクト,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=教育・政治; type=アクティビティ; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,デジタル版「菊池ふるさとかるた」,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=教育・政治; type=データ; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,広島県インフラマネジメント基盤Dobox等で樹園地の持続可能性を考えてみた・・・,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=農業・林業・漁業; type=データ; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,のぼレコ,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=医療・健康; type=アイデア; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,交通安全オープンデータを活用した総合オンラインマップの構築と事故対策支援への応用,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=防犯・防災; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,銅賞,一般部門,迷わないバスナビ,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=道路・交通; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,最優秀賞,ビジネス・プロフェッショナル部門,～都市居住環境を高速でデジタル化～ 生成AI駆動型三次元建物モデリングシステム,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=まちづくり・都市計画; type=アプリケーション; no explicit public URL or GitHub URL on official source page
2025,優秀賞,ビジネス・プロフェッショナル部門,災害データ可視化サービス「DP Note」の開発,,https://urbandata-challenge.jp/news/udc2025prize,,,unknown,,,,,,,,2026-08-31T09:59:15.805381+00:00,,,theme=防犯・防災; type=データ; no explicit public URL or GitHub URL on official source page
